DamFunctTbl,ShipTbl1,ShipTbl2,ShipTbl3,climate scenarios,collaboration,fragility dikes,land use scenarios,model,policy,Costs,Flood damage (Milj. Euro),Number of casualties
0.08482492039225224,0.04933294992055082,0.06929353810622693,0.07582638505322681,12,1.4116157620931662,-0.08371278779820954,sustainableGrowth,waas,no policy,0.0,2359.0,19.3821
0.0193494752973081,-0.06983147516160436,-0.08829432765999812,0.08548692551103784,28,1.0554768281729985,-0.02829232545645262,urbanizationLargeSteady,waas,no policy,0.0,2795.0,23.1293
0.0811591332911423,-0.016032238764384886,0.05546434814897486,-0.0948000980815737,6,1.0671379143634652,0.05388880178838268,urbanizationLargeAndFast,waas,no policy,0.0,0.0,0.0
-0.030594131961506718,-0.013807473047611804,0.09911602260791023,-0.07056527465350516,6,1.0866169699975372,-0.016710917758785214,sustainableGrowth,waas,no policy,0.0,0.0,0.0
-0.08154045248283444,0.0686815472867128,-0.01251312151318282,-0.04979915512590428,19,1.1351162795304697,-0.005706043743963621,Deurbanization,waas,no policy,0.0,0.0,0.0
0.07308990548590752,-0.023049597269742164,0.08498629885003561,0.042754183160885806,9,1.4885973192688635,0.011243772701724985,NoChange,waas,no policy,0.0,0.0,0.0
0.09662571336119366,-0.02635350039006664,-0.05992545997932616,-0.04790460691154363,16,1.3322048062444412,-0.08039661453473673,Deurbanization,waas,no policy,0.0,0.0,0.0
0.0952559754156623,-0.06467628264749054,-0.04933370148653008,0.009892887097883427,16,1.131708056305913,0.0882506330891577,Deurbanization,waas,no policy,0.0,809.0,5.69421
-0.0935698587717447,-0.08591256412555881,0.04205377070775098,0.06125869527460784,22,1.4101014551429143,0.09991276196984022,NoChange,waas,no policy,0.0,1232.0,8.895489999999999
0.011910553974678356,0.02099748300805224,-0.02635777518682382,-0.08843998142216142,7,1.0701048533268966,-0.08877255956107342,urbanizationLargeSteady,waas,no policy,0.0,0.0,0.0
0.08485983392106913,0.07303960874308205,0.0038154303234364533,0.02545104602984436,6,1.3087935553186671,0.09659899058381596,sustainableGrowth,waas,no policy,0.0,0.0,0.0
0.03788997892099447,0.02613830405716017,-0.07222842001744748,-0.05351302060528335,17,1.32934232512326,-0.06560787390521672,Deurbanization,waas,no policy,0.0,1000.0,6.16
0.015515241683627097,-0.05959366262774049,0.012332664552828623,0.03191833955008755,15,1.0216798969144725,-0.07526709112677776,urbanizationLargeSteady,waas,no policy,0.0,2650.0,22.9764
-0.02541209623355826,-0.0010813416795184413,0.044154102854495,-0.03570406703552029,25,1.5306654479169453,0.05249172252164056,urbanizationLargeSteady,waas,no policy,0.0,0.0,0.0
0.06590323320891847,-0.02980788117529355,-0.0355147797201448,-0.027553933678481315,19,1.5151516008345032,-0.0980020845695284,NoChange,waas,no policy,0.0,0.0,0.0
-0.09516032109031196,0.004478878355893709,0.0532573118831644,0.03989169402976634,4,1.5719540151245506,0.08996761575502141,urbanizationLargeSteady,waas,no policy,0.0,0.0,0.0
0.07812967001746805,-0.00954771739368948,-0.08485170970223556,-0.019639658662487368,7,1.1125892408502798,-0.09300972018586463,urbanizationLargeSteady,waas,no policy,0.0,0.0,0.0
-0.00011900883638100991,-0.05608121195865355,0.07264317075452136,-0.09297147880217663,7,1.584338155378309,0.04119087321852472,Deurbanization,waas,no policy,0.0,807.0,5.69549
-0.057818287378212416,0.0069997067568091645,0.03767246364496013,0.027448427252401097,30,1.0364437942790496,0.009051445332436443,NoChange,waas,no policy,0.0,0.0,0.0
-0.0741138674533593,-0.05696375950553216,0.05060113110838921,0.03491630596343308,5,1.0268804095157271,0.051456325273177256,NoChange,waas,no policy,0.0,0.0,0.0
0.01981654086959684,-0.054027337243705516,0.008579184021702132,-0.021487070667277425,18,1.1884823566681608,0.042011870199020085,Deurbanization,waas,no policy,0.0,0.0,0.0
0.05461132671794183,-0.011017460514712585,-0.037898373681427136,0.06408444671074354,6,1.5860720206087562,0.04400912277311242,urbanizationLargeSteady,waas,no policy,0.0,0.0,0.0
0.03488987000770685,0.08064773595341244,0.08593407695532451,0.06691741964972917,28,1.460864136866128,-0.031050005515816336,NoChange,waas,no policy,0.0,1319.0,8.88
0.05066478995994758,-0.09018538582744608,0.014165961795748113,-0.0037300965653370975,2,1.2042740690381837,-0.04438540034794977,urbanizationLargeSteady,waas,no policy,0.0,0.0,0.0
-0.06484775244157959,0.032067053900735554,-0.093361791650566,0.08690963273906185,5,1.4761641529568208,0.06606547151119785,urbanizationDeurbanization,waas,no policy,0.0,0.0,0.0
-0.0934619027815069,-0.03882062605655454,0.05146797236163134,0.08276648204413461,8,1.3583446554495402,0.050317262517806605,NoChange,waas,no policy,0.0,0.0,0.0
-0.0941191455842268,-0.006721061575960155,-0.010497194433816569,0.08250950351888585,1,1.143463002835954,-0.058434335667902175,urbanizationLargeAndFast,waas,no policy,0.0,0.0,0.0
-0.026354877586889848,0.06395481704372412,-0.09001944527067741,0.08751686818481938,3,1.1415250147766764,0.0273228658172868,urbanizationDeurbanization,waas,no policy,0.0,1952.0,15.8515
0.03290180207959201,-0.09955158125974152,-0.06600663139656526,-0.020285963098818496,9,1.1631789188860682,-0.0860837884490093,NoChange,waas,no policy,0.0,0.0,0.0
